id,home_team,away_team
172i5sr,georgia,kentucky
172i5tl,ulm,southalabama
172i5uj,southernmiss,olddominion
172i5vh,illinoisstate,southdakotastate
172i5wp,southern,floridaam
172i5y1,prairieviewam,mvsu
172i5z2,tarletonstate,southernutah
172i60a,ucdavis,montana
172i61a,indianastate,northerniowa
172iula,minnesota,michigan
172ium0,olemiss,arkansas
172j2qi,louisville,notredame
172jjma,iowastate,tcu
172jjmy,miami,georgiatech
172jjnt,baylor,texastech
172jjof,wyoming,fresnostate
172jjpe,utahstate,coloradostate
172jjq9,boisestate,sanjosestate
172jjqy,calpoly,idaho
172jjrs,weberstate,northernarizona
172jjsz,texasamcommerce,mcneese
172ku6p,utahtech,stephenfaustin
172m36n,california,oregonstate
172mpmi,usc,arizona
174xgbs,middletennessee,louisianatech
174y5yp,jacksonvillestate,liberty
174y5zp,appalachianstate,coastalcarolina
175qxwr,fiu,utep
175sxem,newmexicostate,samhoustonstate
176it07,houston,westvirginia
176it10,stfrancis,wagner
176jikm,ecu,smu
1779yhc,memphis,tulane
177b9md,utahstate,fresnostate
177dn6h,colorado,stanford
177rgmq,vanderbilt,georgia
177rgng,michigan,indiana
177rgo9,purdue,ohiostate
177rgpb,alabama,arkansas
177rgq6,floridastate,syracuse
177rgr5,cincinnati,iowastate
177rgs4,northtexas,temple
177rgt0,jamesmadison,georgiasouthern
177rgtp,easternmichigan,kentstate
177rgum,rutgers,michiganstate
177rgvc,duquesne,ccsu
177rgwc,yale,sacredheart
177rgxa,lehigh,georgetown
177rgy4,brown,princeton
177rgyx,marist,sandiego
177spqx,harvard,howard
177sps6,maine,liu
177spt3,cornell,bucknell
177spuc,colgate,dartmouth
177spvh,colgate,dartmouth
177spy6,colgate,dartmouth
177spzd,butler,davidson
177sq0a,villanova,elon
177sq1a,monmouth,hampton
177sq2h,dayton,presbyterian
177sq37,drake,stthomasmn
177sq49,newhampshire,albany
177sq58,rhodeisland,richmond
177sq61,samford,furman
177sq74,citadel,vmi
177tc6u,southcarolinastate,tennesseetech
177tc7n,columbia,pennsylvania
177tyer,charlotte,navy
177tyfl,ballstate,toledo
177tygm,austinpeay,gardnerwebb
177tyhd,northdakota,northdakotastate
177tyig,southdakota,youngstownstate
177tyjl,valparaiso,moreheadstate
177v73j,utah,california
177v744,illinoisstate,indianastate
177v757,grambling,alabamaam
177v766,jacksonstate,alabamastate
177v76y,mvsu,uapb
177v781,bethunecookman,texassouthern
177v797,easternkentucky,tarletonstate
177v7a7,northerncolorado,sacramentostate
177v7b7,delaware,northcarolinaat
177v7bw,murraystate,southernillinois
177v7cs,southdakotastate,northerniowa
177v7dh,southeastmissouri,easternillinois
177vtsq,washington,oregon
177vttq,tennessee,texasam
177vtun,tcu,byu
177vtvk,maryland,illinois
177vtws,southcarolina,florida
177vtxr,virginiatech,wakeforest
177vtyr,oklahomastate,kansas
177vtzp,usf,fau
177vu0p,pennstate,umass
177vu1l,army,troy
177vu2i,centralmichigan,akron
